0.0025,185.4
0.00245,121.5
0.0024,118.0
0.00235,113.1
0.0023,114.0
0.00225,109.5
0.0022,109.3
0.00215,110.8
0.0021,117.6
0.00205,113.0
0.002,114.9
0.00195,125.5
0.0019,127.5
0.00185,119.7
0.0018,123.5
0.00175,121.1
0.0017,124.6
0.00165,121.2
0.0016,129.1
0.00155,137.6
0.0015,136.9
0.00145,134.9
0.0014,133.7
0.00135,139.2
0.0013,154.8
0.00125,198.3
0.0012,142.5
0.00115,131.4
0.0011,135.4
0.00105,141.6
0.001,136.0
9.5E-4,160.0
9.0E-4,185.5
8.5E-4,186.0
8.0E-4,171.6
7.5E-4,181.5
7.0E-4,174.5
6.5E-4,230.0
6.0E-4,173.1
5.5E-4,179.2
5.0E-4,183.3
4.5E-4,477.9
4.0E-4,220.9
3.5E-4,245.8
3.0E-4,247.1
2.5E-4,251.8
2.0E-4,649.4
1.5E-4,589.1
1.0E-4,1152.2
5.0E-5,1899.9
